"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"dispatch_stage_power_cc1",786.5608,1002.6525,1686.0728,3890.7359," total power usage of dispatch stage_cc1",786.5608,3890.7359,3104.1751,1418.93002319595,0.45710373206587
"issue_stage_power_cc2",32051.8667,32662.7687,33490.6652,33776.9003," total power usage of issue stage_cc2",32051.8667,33776.9003,1725.0336,786.750472282353,0.456078346695596
"avg_total_power_cycle_cc1",13.0733,10.7632,10.0068,10.3013," average total power per cycle_cc1",10.0068,13.0733,3.0665,1.39332309844726,0.454369182601421
"avg_total_power_cycle_cc2",5.5179,5.7242,5.8505,5.8903," average total power per cycle_cc2",5.5179,5.8903,0.3724,0.167578128545066,0.449994974610811
"resultbus_power_cc3",6842.8456,6756.1636,6665.7643,6873.8086," total power usage of resultbus_cc3",6665.7643,6873.8086,208.0443,93.5971302670254,0.449890385206541
"rename_power",1539.1043,2732.8028,5873.669,13553.9196," total power usage of rename unit",1539.1043,13553.9196,12014.8153,5404.60461477716,0.449828356061134
"dispatch_stage_power",1539.1043,2732.8028,5873.669,13553.9196," total power usage of dispatch stage",1539.1043,13553.9196,12014.8153,5404.60461477716,0.449828356061134
"avg_rename_power_cc1",0.0409,0.0649,0.12,0.2769," avg power usage of rename unit_cc1",0.0409,0.2769,0.236,0.106115671949686,0.449642677752906
"avg_dispatch_power_cc1",0.0409,0.0649,0.12,0.2769," average power of dispatch unit per cycle_cc1",0.0409,0.2769,0.236,0.106115671949686,0.449642677752906
"rename_power_cc2",786.5608,924.58,1194.9633,1378.7325," total power usage of rename unit_cc2",786.5608,1378.7325,592.1717,266.089265238121,0.449344785031303
"dispatch_stage_power_cc2",786.5608,924.58,1194.9633,1378.7325," total power usage of dispatch stage_cc2",786.5608,1378.7325,592.1717,266.089265238121,0.449344785031303
"avg_total_power_cycle_cc3",11.2508,11.7229,11.9642,12.0494," average total power per cycle_cc3",11.2508,12.0494,0.7986,0.358430247747034,0.448823250371943
"avg_rename_power",0.08,0.1768,0.418,0.9645," avg power usage of rename unit",0.08,0.9645,0.8845,0.396155006489463,0.447885818529636
"avg_dispatch_power",0.08,0.1768,0.418,0.9645," average power of dispatch unit per cycle",0.08,0.9645,0.8845,0.396155006489463,0.447885818529636
"avg_resultbus_power_cc3",0.3559,0.4372,0.4743,0.4891," avg power usage of resultbus_cc3",0.3559,0.4891,0.1332,0.0596235062705977,0.447623920950433
"avg_clock_power",25.9961,26.0229,26.0975,26.2177," avg power usage of clock",25.9961,26.2177,0.221600000000002,0.0991913134637647,0.447614230432146
"avg_total_power_cycle_nofp_nod2",52.8588,52.9823,53.2981,53.9648," average total power per cycle",52.8588,53.9648,1.10599999999999,0.495058710322992,0.447611853818259
"avg_total_power_cycle",71.3489,71.4725,71.7882,72.455," average total power per cycle",71.3489,72.455,1.1061,0.49508531588,0.447595439725162
"avg_rename_power_cc2",0.0409,0.0598,0.085,0.0981," avg power usage of rename unit_cc2",0.0409,0.0981,0.0572,0.0255724461090448,0.447070736172112
"avg_dispatch_power_cc2",0.0409,0.0598,0.085,0.0981," average power of dispatch unit per cycle_cc2",0.0409,0.0981,0.0572,0.0255724461090448,0.447070736172112
"avg_resultbus_power_cc1",0.7928,0.652,0.6033,0.6302," avg power usage of resultbus_cc1",0.6033,0.7928,0.1895,0.0845301671988567,0.44606948389898
"avg_regfile_power_cc2",0.2194,0.2307,0.2258,0.2293," avg power usage of arch. regfile_cc2",0.2194,0.2307,0.0113,0.0050405026204404,0.446062178800037
